Chatty,Safety,Punctuality,Friendliness,Comfortability,UTT,Class_Given
0,0,3,0,4,15,Chatty
,,,,,,
2,3,4,2,5,20,Safety
,,,,,,
3,3,5,1,0,20,Comfortability
,,,,,,
2,5,3,3,3,10,Comfortability
,,,,,,
5,4,3,3,5,30,Comfortability
,,,,,,
5,4,4,2,3,20,Chatty
,,,,,,
5,3,5,3,2,25,Chatty
,,,,,,
0,1,4,4,5,10,Chatty
,,,,,,
3,2,5,3,2,15,Chatty
,,,,,,
1,5,3,5,1,25,Chatty
,,,,,,
2,1,0,1,2,20,Chatty
,,,,,,
2,1,5,3,5,30,Chatty
,,,,,,
1,3,5,0,3,15,Chatty
,,,,,,
0,1,3,3,4,15,Chatty
,,,,,,
5,2,5,2,1,30,Chatty
,,,,,,
2,3,0,2,0,10,Chatty
,,,,,,
3,2,3,3,0,15,Comfortability
,,,,,,
4,2,0,1,0,15,Comfortability
,,,,,,
2,5,2,3,2,30,Comfortability
,,,,,,
1,0,4,4,1,10,Comfortability
,,,,,,
0,0,5,0,4,10,Comfortability
,,,,,,
4,5,0,0,1,25,Punctuality
,,,,,,
5,0,5,5,0,15,Comfortability
,,,,,,
1,4,0,2,3,25,Punctuality
,,,,,,
0,5,4,4,5,10,Punctuality
,,,,,,
4,5,2,5,4,20,Punctuality
,,,,,,
1,1,1,2,0,25,Comfortability
,,,,,,
4,5,1,3,5,30,Comfortability
,,,,,,
4,0,2,2,3,30,Comfortability
,,,,,,
3,0,1,1,2,20,Safety
,,,,,,
3,0,2,5,5,10,Safety
,,,,,,
3,4,2,2,4,10,Safety
,,,,,,
3,3,3,4,1,10,Safety
,,,,,,
1,1,2,5,3,20,Safety
,,,,,,
5,3,5,0,3,10,Safety
,,,,,,
0,2,0,2,1,20,Safety
,,,,,,
5,2,5,5,1,20,Punctuality
,,,,,,
4,1,5,1,5,10,Punctuality
,,,,,,
2,2,1,5,4,20,Punctuality
,,,,,,
4,5,0,4,3,25,Punctuality
,,,,,,
3,5,3,2,3,15,Punctuality
,,,,,,
5,1,5,2,3,15,Punctuality
,,,,,,
5,2,2,0,3,30,Punctuality
,,,,,,
2,0,0,0,4,15,Punctuality
,,,,,,
3,3,2,1,5,10,Punctuality
,,,,,,
2,2,5,4,3,10,Punctuality
,,,,,,
2,0,3,1,0,20,Punctuality
,,,,,,
2,5,4,1,4,30,Punctuality
,,,,,,
3,2,5,3,0,15,Punctuality
,,,,,,
2,3,4,4,1,10,Punctuality
,,,,,,
2,0,1,4,2,25,Punctuality
,,,,,,
5,1,2,4,0,20,Punctuality
,,,,,,
1,1,4,5,2,25,Punctuality
,,,,,,
3,1,0,3,0,20,Punctuality
,,,,,,
1,4,3,4,5,30,Punctuality
,,,,,,
1,3,3,5,0,10,Punctuality
,,,,,,
5,4,3,3,3,15,Comfortability
,,,,,,
4,0,3,4,2,15,Safety
,,,,,,
2,5,3,0,5,15,Safety
,,,,,,
3,5,1,0,3,20,Safety
,,,,,,
3,5,2,0,4,20,Safety
,,,,,,
1,4,1,1,0,20,Safety
,,,,,,
5,0,5,5,0,10,Safety
,,,,,,
0,5,5,1,3,10,Safety
,,,,,,
3,1,2,0,0,10,Safety
,,,,,,
3,3,2,3,5,30,Safety
,,,,,,
3,0,1,3,2,10,Safety
,,,,,,
5,5,0,2,5,15,Safety
,,,,,,
0,0,4,5,5,10,Safety
,,,,,,
3,4,0,1,5,20,Safety
,,,,,,
5,0,4,4,2,15,Safety
,,,,,,
0,2,5,5,1,30,Safety
,,,,,,
1,2,5,2,4,10,Safety
,,,,,,
3,4,4,1,0,30,Safety
,,,,,,
1,5,5,1,3,30,Safety
,,,,,,
2,5,0,4,1,10,Safety
,,,,,,
1,0,3,4,4,10,Safety
,,,,,,
5,3,2,4,0,25,Safety
,,,,,,
0,5,1,5,5,20,Safety
,,,,,,
3,4,0,2,0,10,Safety
,,,,,,
2,4,3,0,5,30,Safety
,,,,,,
2,5,1,0,3,30,Safety
,,,,,,
2,0,4,1,1,30,Safety
,,,,,,
5,0,1,0,2,30,Safety
,,,,,,
4,3,1,4,5,25,Safety
,,,,,,
5,5,5,4,2,20,Safety
,,,,,,
4,2,3,3,5,15,Safety
,,,,,,
4,2,4,5,4,20,Safety
,,,,,,
1,1,5,3,3,15,Safety
,,,,,,
0,4,3,3,2,20,Safety
,,,,,,
0,0,1,2,0,20,Safety
,,,,,,
4,2,4,0,2,20,Safety
,,,,,,
3,4,0,1,2,25,Safety
,,,,,,
2,2,1,4,1,10,Safety
,,,,,,
1,3,0,2,0,30,Safety
,,,,,,
1,5,4,3,4,30,Safety
,,,,,,
3,2,3,0,1,15,Safety
,,,,,,
2,1,1,4,1,20,Safety
,,,,,,
1,1,3,0,0,30,Safety
,,,,,,
2,0,2,4,4,20,Safety
,,,,,,
1,2,0,4,2,20,Safety
,,,,,,
2,2,4,5,0,20,Safety
,,,,,,
1,3,1,1,1,30,Safety
,,,,,,
5,3,2,2,2,25,Safety
,,,,,,
5,4,0,1,4,25,Safety
,,,,,,
1,3,0,3,5,25,Comfortability
,,,,,,
1,0,1,5,0,30,Comfortability
,,,,,,
2,0,5,5,1,20,Safety
,,,,,,
1,2,2,2,3,25,Safety
,,,,,,
5,1,1,0,1,30,Safety
,,,,,,
5,2,2,1,3,10,Safety
,,,,,,
2,3,0,5,0,25,Comfortability
,,,,,,
3,5,4,0,3,25,Safety
,,,,,,
1,4,3,2,3,10,Safety
,,,,,,
5,2,3,0,5,30,Comfortability
,,,,,,
1,4,1,4,0,25,Comfortability
,,,,,,
3,4,1,0,2,10,Comfortability
,,,,,,
2,1,3,4,0,20,Comfortability
,,,,,,
0,4,0,2,2,25,Comfortability
,,,,,,
1,3,1,4,4,25,Comfortability
,,,,,,
2,5,3,0,5,20,Comfortability
,,,,,,
0,3,4,0,4,10,Comfortability
,,,,,,
2,0,4,3,1,25,Comfortability
,,,,,,
4,5,3,2,3,25,Safety
,,,,,,
3,1,1,1,4,25,Safety
,,,,,,
4,4,0,3,2,20,Safety
,,,,,,
5,4,0,1,3,30,Safety
,,,,,,
2,2,5,5,3,15,Safety
,,,,,,
0,1,1,4,3,10,Safety
,,,,,,
3,3,0,4,0,20,Punctuality
,,,,,,
4,4,5,5,1,30,Punctuality
,,,,,,
3,1,2,5,3,25,Punctuality
,,,,,,
2,1,5,0,3,15,Punctuality
,,,,,,
4,2,1,1,1,30,Punctuality
,,,,,,
1,5,0,1,4,25,Punctuality
,,,,,,
2,4,1,2,3,20,Punctuality
,,,,,,
5,3,0,0,4,15,Punctuality
,,,,,,
5,1,0,0,0,20,Punctuality
,,,,,,
0,5,4,3,3,30,Punctuality
,,,,,,
0,3,1,4,3,10,Punctuality
,,,,,,
5,3,4,4,5,15,Punctuality
,,,,,,
3,2,2,3,4,20,Punctuality
,,,,,,
3,1,1,0,0,15,Punctuality
,,,,,,
5,1,4,1,4,30,Punctuality
,,,,,,
4,3,0,0,4,20,Punctuality
,,,,,,
1,1,3,0,3,25,Punctuality
,,,,,,
1,1,1,5,3,10,Punctuality
,,,,,,
0,2,2,3,0,25,Punctuality
,,,,,,
2,0,2,5,2,30,Friendliness
,,,,,,
0,5,5,2,4,15,Punctuality
,,,,,,
3,4,1,5,4,25,Friendliness
,,,,,,
2,2,1,1,4,15,Friendliness
,,,,,,
0,1,3,3,1,10,Friendliness
,,,,,,
1,3,1,4,2,10,Friendliness
,,,,,,
5,2,4,3,1,20,Punctuality
,,,,,,
4,1,5,4,0,15,Punctuality
,,,,,,
3,1,3,2,4,20,Punctuality
,,,,,,
0,1,4,0,0,10,Punctuality
,,,,,,
0,5,4,5,1,30,Friendliness
,,,,,,
2,0,5,2,5,10,Punctuality
,,,,,,
0,1,5,2,4,15,Punctuality
,,,,,,
1,3,3,2,4,30,Punctuality
,,,,,,
5,3,3,2,5,20,Punctuality
,,,,,,
0,3,0,1,4,10,Punctuality
,,,,,,
5,2,1,2,1,30,Punctuality
,,,,,,
0,5,4,5,0,15,Punctuality
,,,,,,
1,3,4,4,3,15,Punctuality
,,,,,,
4,1,3,3,1,20,Punctuality
,,,,,,
1,2,1,4,1,20,Punctuality
,,,,,,
2,2,0,5,5,20,Punctuality
,,,,,,
4,3,5,4,3,25,Punctuality
,,,,,,
0,1,3,4,4,15,Punctuality
,,,,,,
3,0,4,4,2,10,Punctuality
,,,,,,
1,0,0,3,5,10,Punctuality
,,,,,,
4,1,1,5,2,30,Punctuality
,,,,,,
3,4,1,2,1,15,Punctuality
,,,,,,
0,4,3,1,0,30,Punctuality
,,,,,,
3,3,5,1,1,15,Punctuality
,,,,,,
3,3,1,0,2,20,Punctuality
,,,,,,
2,5,1,3,0,25,Punctuality
,,,,,,
4,4,4,0,1,15,Punctuality
,,,,,,
0,2,2,2,4,20,Punctuality
,,,,,,
1,4,5,0,1,10,Punctuality
,,,,,,
3,3,5,1,3,30,Punctuality
,,,,,,
0,0,2,5,3,10,Punctuality
,,,,,,
4,5,5,1,4,10,Punctuality
,,,,,,
3,0,2,1,4,10,Punctuality
,,,,,,
2,2,0,5,3,20,Punctuality
,,,,,,
4,2,2,4,4,10,Punctuality
,,,,,,
1,2,4,1,4,30,Punctuality
,,,,,,
1,4,2,0,5,25,Punctuality
,,,,,,
4,4,3,0,5,15,Punctuality
,,,,,,
4,1,3,5,3,30,Friendliness
,,,,,,
0,2,5,5,3,30,Friendliness
,,,,,,
0,5,2,3,0,10,Friendliness
,,,,,,
